"Position","Fish Name","Description","Habitat","Reproduction and Diet","Image","Image Alt Text","More Info Link"
1,"1. Akya Balığı","Carangida familyasının bir üyesi olan akya balığı, boyutları ve zevkli avcılığı ile olta balıkçılarının avlanırken en çok heyecanlandığı deniz balıklarından biridir. Akya olarak bilinen bu tür, aynı zamanda liça balığı olarak da adlandırılır.","Maksimum yetişkin boyutları, 200 cm uzunluk ve 50 kg ağırlıktır. Ancak, genellikle Ege denizinde bulunanların 120 cm civarına kadar büyüdükleri görülmüştür.","Üreme dönemleri olan Mayıs ve Ağustos arasında yumurtlamak için gittikleri nehir birleşimlerinde kefaller ve sardalyaları yiyerek güç toplarlar. Ana besinleri kefal yavrularıdır.","https://cdn.balikturleri.com/wp-content/uploads/2022/12/Ege-baliklari-Akya-baligi.jpg","Ege balıkları: akya balığı","https://balikturleri.com/akya-baligi-lica/"
2,"2. Yaygın Aslan Balığı (Şeytan Ateş Balığı)","Hint-Pasifik bölgesine özgü bir aslan balığı varyantı olan bu tür, bilimsel olarak Pterois miles olarak adlandırılmıştır. Benzerlikleri dolayısıyla kırmızı aslan balığı ile karışıtırılırlar.","Hint-Pasifik bölgesinin yanı sıra ülkemiz sularından Ege denizinde de yaşadıkları biliniyor. Genel aslan balığı çeşitleri gibi bu tür de zehirli bir türdür.","Sırtında toplamda 13 adet diken bulunur. Renkleri kırmızı, gri veya ten rengi tonlarındadır. Geceleri avlandıklarından gündüzleri pek aktif bir tür değillerdir. Küçük kabuklular ve balıklar ile beslenirler.","https://cdn.balikturleri.com/wp-content/uploads/2022/12/Yaygin-aslan-baligi-Seytan-ates-baligi-Pterois-miles.jpg","Yaygın aslan balığı - Şeytan ateş balığı (Pterois miles)",
3,"3. Barbunya (Barbun)","Gerçek adı Barbunya balığı olsa da halk arasında Barbun adı ile bilinir. Mullidae familyasından olan bu türe Mullus barbatus bilimsel adı verilmiştir.","Ege denizi gibi sıcak ve ılıman suların kıyıya yakın kumlu ve çamurlu bölgelerinde yaşarlar. Nadiren de olsa kayalık alanlarda görülmektedirler. Tekir balığına benzerlikleri ile bilinirler. Aradaki farkı anlamak için burun, göz altı ve sırt yüzgecine bakılmalıdır.","Maksimum boyutları 40 cm’dir ancak, Ege Denizi bölgesindekiler genellikle 18-20 cm civarında olurlar. Ege balıkları arasında ticari öneme sahip, eti lezzetli balıklardandır.","https://cdn.balikturleri.com/wp-content/uploads/2022/12/Barbunya-Barbun-Mullus-barbatus-Ege-denizi-balik-turleri.jpg","Ege denizi balık türlerinden Barbunya balığı - Barbun (Mullus barbatus)","https://balikturleri.com/zuber-baligi/"
4,"4. Çipura","Çipura balığı diğer adıyla Çupra, Ege denizi balık türleri arasında yer alsa da aslında Akdeniz bölgesinde de yaşarlar.","Ilıman sulara sahip bölgelerin, kumlu ve çamurlu bölgelerinde yaşarlar. Zaman zaman nehir ağızları ve lagünlerde bulundukları da olur.","200 gr ve üzeri olanlar Çipura, bunun altında olanlar ise Lidaki olarak isimlendirilir. Kuvvetli bir çeneye sahiptir ve bu sayede kabukluları kolayca yiyebilir.","https://cdn.balikturleri.com/wp-content/uploads/2022/12/Cipura-baligi-Cupra-Sparus-aurata-Ege-denizi-baligi.jpg","Ege denizi Çipura balığı - Çupra (Sparus aurata)",
5,"5. Çitari (Sarpa)","Görüntü olarak Çipura balığına çok benzerdir. Halk arasında Sarpa balığı olarak bilinirler. Yüzeyden 70 metre derinliğe kadar uzanan yaşam alanları vardır.","Maviye çalan gri renkli üst kısımları, gümüş renkli yan kısımları vardır. Maksimum olarak 51 cm uzunluk ölçülmüş olup, genellikle 15-30 cm civarında görülürler.","Ege denizi balık türleri arasında ticari değeri yoktur. Yapılan araştırmalarda tam olarak tespit edilemese de balığın tükettiği bir alg neticesinde, sarpa yiyen insanlarda halüsinojenik balık sarhoşluğu denilen rahatsızlığa sebep olur.","https://cdn.balikturleri.com/wp-content/uploads/2022/12/Citari-baligi-Sarpa-Sarpan-Ege-baliklari.jpg","Ege balıklarından Çitari balığı (salema porgy)","https://balikturleri.com/gumus-baligi-lokum-baligi-akdeniz-lokumu/"
6,"6. Çizgili Hani Balığı (Yazılı Hani)","Hani balığı, Orfoz’un da içinde bulunduğu Serranidae familyasından ve Levreğin içinde bulunduğu Serraninae alt türünden bir balıktır. Bilimsel adı Serranus scriba’dır. Çizgili hani balığı Ege denizi balıkları arasında yer almaktadır ancak hani balıkları genel olarak Akdeniz ve Karadeniz’de yaygındırar.","Ülkemiz denizlerinden Ege Denizi’ne özgü Çizgili hani, 5 ila 150 metre arasında yaşam alanına sahiptir. Gündüzleri kayalıkların oluşturduğu mağaralarda geçirirken, alacakaranlık ve geceleri avlanmak için ortaya çıkar.","Genellikle yalnız yaşadıkları görülse de küçük sürüler halinde yüzdüklerine de rastlanmaktadır. Uzunlukları en fazla 25 cm’ye ulaşır. Kabuklular, kafadanbacaklılar ve küçük balıklar ile beslenir. Ticari değeri olmayan, eti lezzetli Ege balıklarından biridir.","https://cdn.balikturleri.com/wp-content/uploads/2022/12/Cizgili-hani-baligi-Yazili-hani-Serranus-scriba.jpg","Çizgili hani balığı (yazılı hani - Serranus scriba)","https://balikturleri.com/renkli-ve-kucuk-akvaryum-baliklari/"
7,"7. Dikenli Vatoz","Dikenli vatoz, Dasyatidae familyasından bir vatoz balığı türüdür. Akdeniz ve Karadeniz bölgelerimizde de görülen bu tür, daha fazla görülmesi sebebiyle Ege Denizi balık türleri arasında bulunmalıdır.","Çok derin sularda değil, genellikle 60 metre civarı derinlikte ve çamurlu alanlarda yaşarlar. Ana besinleri dipte yaşayan kabuklu türleridir. Ek olarak yumuşakçalar, solucanlar ve küçük balıklarla da beslenir.","Ege denizinde bulunan dikenli vatozlar, genellikle 40-45 cm civarında veya daha küçük boyuttadır. Tırtırlı kuyruk ve iğneleri yüzünden insanlar için tehlikeli balık türleri arasındadır. Ticari değeri yoktur.","https://cdn.balikturleri.com/wp-content/uploads/2022/12/Ege-denizi-dikenli-vatoz-baligi.jpg","Ege denizinde bulunan dikenli vatoz balığı (Dasyatis pastinaca)","https://balikturleri.com/deniz-baliklari-en-tehlikeli-10-deniz-canlisi/"
8,"8. Eşkina","Eşina balığı, Sciaenidae familyasından bir deniz balığı türüdür. Bilimsel adı Sciaena umbra olan bu tür, Akdeniz ve Ege Denizi bölgelerimizde bulunmaktadır. Eşkina balığı amatör avcılık yapanların sıklıkla karşılaştığı bir türdür.","Yavru eşkinalar kıyı şeritlere yakın nehir ağızlarında yaşarken, yetişkinler 5 metre ile 200 metre arasında yaşarlar. Ege balıkları listemize dahil ettiğimiz eşkina, en fazla 60 cm boyuta ulaşabilir ancak, ülkemiz sularında genellikle 30-40 cm civarında görülürler.","Bu balığı sıradışı kılan bir özelliği de vardır. Balığın kafasından, alın bölgesinden 1 cm çapında taş çıkar. Bilimsel olarak kanıtlanmamış olsa da bu taş limon ile eritilerek tüketildiğinde böbrek taşı rahatsızlığına iyi geldiği düşünülür.","https://cdn.balikturleri.com/wp-content/uploads/2022/12/eskina-baligi-ege-denizi-baliklari.jpg","Ege denizi balıklarından Eşkina balığı","https://balikturleri.com/yesil-ruhsat-satanlar-nereden-bulunur/"
9,"9. Horozbina Balığı","Horozbina, Blenniidae familyasından 900 civarı alt türe sahip, hem tuzlu hem de tatlı sularda (küçük bir bölümü) yaşayan alt varyantlara sahip balık türlerinin ortak adıdır.","Horozbina tür adı altında 150 farklı cins ve 900 civarı da varyant tanımlanmıştır. Tatlı su blennysi olarak bilinen bir türü, nadiren de olsa akvaryumlarda beslenmektedir.","Genellikle küçük boyutlara sahip olabilen bu balığın, yılan balığına benzer varyantlarıyla 55 cm boyutuna ulaştığı görülmüştür. İri bir göz ve ağız yapısına sahiptir.","https://cdn.balikturleri.com/wp-content/uploads/2022/12/horozbina-tatli-su-blennysi.jpg","Horozbina balığı","https://balikturleri.com/akvaryum-baliklari/"
10,"10. İskaroz (Papağan Balığı)","Genellikle ılıman ve sıcak sulara sahip denizlerde yaşarlar. Bilimsel adı Sparisoma cretense olan tür Scaridae familyasındandır.","Parlak renklere sahip bir balıktır. Görünüşü itibariyle sazan balığının tropik halini andırır. Papağan isminin verilmesi ağızlarının papağan gagasına benzemesindendir.","Erkekler daha koyu tondaki renklere sahipken dişiler, kırmızı-turuncu tonlarındadır. Zamanlarının çoğu mercan resiflerinde geçer. Burada deniz yosunu ile beslenirler.","https://cdn.balikturleri.com/wp-content/uploads/2022/12/iskaroz-baligi-ege-denizi-baliklari.jpg","İskaroz (Papağan balığı)",
